age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
20,M,1010,En Couple,4,false,7396 VP 43
59,F,422,En Couple,4,false,7546 VN 65
21,M,207,En Couple,0,false,5235 IZ 58
21,M,409,En Couple,4,false,3303 QQ 51
26,M,500,Célibataire,0,false,5719 RJ 63
39,M,201,En Couple,0,true,8089 QP 52
69,M,1068,En Couple,0,false,3153 HY 56
29,F,485,Célibataire,0,false,7881 UN 33
23,M,1339,En Couple,1,false,8317 RU 70
34,F,248,En Couple,2,false,7621 OV 32
35,M,223,Célibataire,0,false,9952 FP 25
38,M,238,En Couple,0,true,2729 UP 51
29,F,248,En Couple,1,false,9721 NE 79
21,F,575,En Couple,0,false,3769 MN 79
26,M,746,En Couple,3,false,6321 ON 89
62,M,1331,Célibataire,0,false,2018 PN 61
69,M,487,En Couple,2,true,5101 RX 33
61,M,984,En Couple,0,false,6142 MT 90
34,M,1208,En Couple,0,false,184 UI 39
75,M,229,En Couple,2,true,4126 WL 72
27,M,223,En Couple,1,false,5179 HW 69
38,M,932,En Couple,2,false,3055 RU 60
47,M,567,En Couple,2,false,7815 BJ 28
37,M,505,Célibataire,0,false,1768 HL 22
38,M,405,En Couple,0,false,5607 ZW 85
43,M,568,Célibataire,0,false,4024 KY 62
33,M,514,En Couple,2,true,4225 DQ 82
57,M,710,Célibataire,0,false,922 PB 17
58,M,596,En Couple,2,false,2883 DT 28
18,M,497,En Couple,1,false,5233 XS 56
22,F,514,Célibataire,0,false,5127 TU 58
50,M,1201,Célibataire,0,false,3726 AU 55
55,M,552,En Couple,0,false,5345 ZR 49
26,F,514,En Couple,4,false,567 CR 68
59,M,187,Célibataire,0,false,5229 OX 13
51,M,443,En Couple,3,false,4383 AX 87
68,F,448,En Couple,0,false,8547 BH 41
80,M,495,En Couple,3,false,6131 FW 94
28,M,175,Seule,2,false,1317 NC 77
27,F,213,En Couple,1,false,4120 NN 70
76,F,1210,En Couple,0,false,93 SQ 57
36,F,199,Célibataire,0,false,1872 RV 61
46,M,952,En Couple,2,true,1425 JB 54
25,M,561,En Couple,3,false,4436 NG 49
38,F,421,Célibataire,0,false,7505 CI 22
74,F,554,Célibataire,0,false,9240 EY 66
42,F,448,Célibataire,0,false,1333 TV 41
26,M,567,Célibataire,0,false,2731 RD 78
19,F,555,Seule,1,false,3585 MV 82
77,M,445,Célibataire,0,false,8294 GZ 15
44,M,160,En Couple,0,true,5826 TP 90
44,M,204,Célibataire,0,false,442 EU 89
27,M,534,Célibataire,0,false,2655 SC 77
56,M,220,Célibataire,0,false,6916 YA 66
20,F,1031,En Couple,0,true,8875 PY 30
21,F,417,En Couple,0,false,9707 OD 18
21,M,201,En Couple,4,false,3951 PO 57
76,M,558,Seule,1,false,7486 OY 79
20,M,956,En Couple,1,false,1986 AZ 56
41,F,1027,Célibataire,0,false,5799 HF 21
49,M,712,En Couple,3,false,8450 MN 26
30,F,907,En Couple,3,false,8892 AF 91
41,F,1351,En Couple,2,false,8330 XF 68
54,M,173,En Couple,3,true,6970 FT 42
77,M,591,En Couple,1,false,4284 GV 63
29,F,915,En Couple,2,false,2138 YV 42
40,M,846,En Couple,2,false,342 SU 88
28,M,431,En Couple,0,true,6143 VE 36
65,M,586,Célibataire,0,false,3551 QF 13
58,M,492,En Couple,3,false,51 VH 22
64,M,573,En Couple,3,false,904 ZV 42
26,M,415,En Couple,4,false,9695 VA 98
51,M,1038,En Couple,2,false,1964 DC 30
20,?,477,Célibataire,0,false,4945 SV 54
25,F,577,Célibataire,0,false,4114 WG 34
80,F,469,Célibataire,0,false,5957 IX 73
47,F,1101,En Couple,0,false,456 KT 79
53,M,472,En Couple,2,false,7278 XW 64
33,M,1171,En Couple,3,false,7575 YM 34
27,M,905,En Couple,4,false,603 SW 74
50,F,987,Célibataire,0,false,339 YM 68
36,Homme,1301,En Couple,3,false,3797 PS 85
29,M,514,En Couple,3,false,8490 AE 63
29,M,474,En Couple,1,true,557 GA 22
27,M,404,Célibataire,0,false,9218 WG 70
57,M,564,Célibataire,0,false,1920 DB 19
22,M,187,Célibataire,0,false,6380 SR 34
21,M,774,Célibataire,0,false,6228 BS 88
45,M,594,En Couple,2,false,1877 OF 52
50,Masculin,701,En Couple,0,false,6906 DB 85
38,M,537,Célibataire,0,false,8561 GS 27
27,M,1097,En Couple,1,false,2011 OM 63
64,M,458,Célibataire,0,false,5424 KK 32
30,M,-1,En Couple,1,false,9565 QV 61
38,M,889,En Couple,3,false,7340 LS 31
24,M,1293,En Couple,2,false,2221 PG 15
19,M,409,En Couple,2,false,8134 RM 82
21,M,429,Célibataire,0,false,9108 XC 51
45,M,942,En Couple,2,false,9597 FL 60
35,M,808,En Couple,0,false,4900 ZU 69
19,M,465,Célibataire,0,false,5912 HE 83
40,F,1034,En Couple,3,true,5434 SD 54
25,F,466,En Couple,2,false,761 IC 15
51,F,510,En Couple,1,false,3451 YH 53
46,M,502,En Couple,1,false,3082 FD 81
48,M,461,En Couple,0,false,792 IO 69
22,M,175,En Couple,4,true,6065 DA 65
73,M,442,En Couple,2,false,2364 EH 47
27,M,238,En Couple,2,false,1453 TZ 80
29,M,439,En Couple,1,false,4250 KG 64
27,M,492,En Couple,4,false,4264 NQ 46
62,M,205,En Couple,0,false,2209 XP 52
41,M,490,En Couple,0,false,8788 SB 81
55,M,464,Seul,0,false,6122 QN 43
71,M,548,En Couple,3,true,7456 AD 31
34,M,519,En Couple,0,true,2118 MQ 61
42,M,168,En Couple,0,false,4467 HD 97
42,M,537,Célibataire,0,false,2210 DI 40
30,M,566,Célibataire,0,false,1165 UM 74
21,M,819,En Couple,1,false,1204 XP 58
41,M,176,Célibataire,0,false,8794 YG 70
27,F,488,En Couple,1,false,2253 EW 81
24,Masculin,408,En Couple,1,false,288 JK 69
49,F,1282,En Couple,0,true,6278 PV 58
47,M,1313,Célibataire,0,false,61 PV 72
44,M,1058,Seule,1,false,9781 KB 32
21,M,593,Célibataire,0,false,7708 QQ 56
70,M,442,En Couple,3,true,4663 OR 97
43,M,480,Célibataire,0,false,3150 GP 33
74,M,493,Célibataire,0,false,5829 DY 80
76,F,838,En Couple,2,false,4067 AL 88
57,M,425,En Couple,1,true,7505 EH 41
32,M,417,En Couple,1,false,8448 FB 70
39,F,492,Célibataire,0,false,3767 BI 78
62,M,225,Célibataire,0,false,7064 JG 64
37,M,487,En Couple,3,true,574 FW 37
61,M,908,En Couple,1,false,4678 HT 41
74,M,435,Célibataire,0,false,8710 OY 17
22,M,190,Seule,3,false,7086 JS 91
33,F,523,En Couple,0,false,7194 NK 38
20,F,786,En Couple,1,false,1633 OT 95
42,M,1080,En Couple,4,true,1277 ZB 71
38,M,583,En Couple,1,false,4887 RI 91
53,M,210,En Couple,3,true,5630 BD 28
23,M,1203,En Couple,0,false,1348 ZA 14
76,M,902,En Couple,2,false,1109 DX 40
53,M,958,En Couple,0,false,7125 AL 24
57,M,539,En Couple,4,false,4581 NV 87
58,F,884,Célibataire,0,false,6882 UH 38
80,M,166,En Couple,4,false,4586 PE 70
39,M,168,Seule,1,false,1755 FE 70
23,M,592,En Couple,0,false,2122 WP 75
52,M,762,En Couple,2,false,3789 YS 74
47,M,924,Célibataire,0,false,998 LY 55
56,M,528,Célibataire,0,false,8332 WW 93
59,M,541,Seule,1,false,7767 FB 75
58,F,174,En Couple,3,false,8120 DX 16
50,M,557,En Couple,1,false,8979 JA 33
83,M,448,Célibataire,0,false,8810 PG 33
20,M,165,Célibataire,0,false,8615 RF 10
23,M,239,En Couple,1,false,421 GT 34
18,M,549,En Couple,0,false,6588 HK 11
18,M,440,En Couple,0,false,8423 JY 73
49,F,596,En Couple,0,true,1188 RW 87
61,M,429,En Couple,3,false,8695 TZ 73
21,M,178,En Couple,0,false,6891 EZ 66
20,M,418,En Couple,0,false,3110 LZ 43
27,F,570,Célibataire,0,false,552 VC 17
35,M,532,En Couple,3,false,7024 LJ 15
51,M,1311,En Couple,0,false,9547 JM 15
65,M,427,Seule,2,false,3946 BO 86
22,M,520,Célibataire,0,false,4062 XF 11
24,M,184,Seule,2,false,1123 PJ 60
28,M,730,Célibataire,0,false,5846 JM 95
48,F,523,En Couple,4,false,6181 SM 43
48,M,907,En Couple,2,false,7473 DH 65
50,F,238,En Couple,3,true,8402 AS 16
45,M,542,Célibataire,0,false,3048 IX 51
55,F,411,Célibataire,0,false,4921 VO 46
83,M,568,En Couple,3,false,827 ZI 71
53,F,159,Célibataire,0,false,912 DP 56
47,F,1351,En Couple,4,false,6473 IZ 90
26,N/D,534,Seule,2,false,9577 KF 75
54,F,433,Célibataire,0,false,1111 DL 97
20,F,415,En Couple,2,true,9887 WS 78
35,M,591,Célibataire,0,false,3382 NA 83
22,M,1106,Célibataire,0,false,247 VZ 74
29,F,758,Célibataire,0,false,9711 HX 21
77,M,475,Célibataire,0,false,4658 JN 47
83,F,1136,En Couple,0,false,5127 WY 98
38,F,532,Célibataire,0,false,807 BL 83
18,F,225,En Couple,0,false,8205 EP 88
29,M,564,Seule,2,false,8363 XX 77
55,F,597,Célibataire,0,false,4521 WO 79
38,F,1021,En Couple,2,false,1674 EQ 89
